序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,耐火母线槽,三相五限制,"800A/5 IP65(L1.L2,L3,N,PE)",,,IP65,,高标,,米,27.37,1250.4424778761063,0.13,1413,38673.810000000005,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
2,耐火母线槽,三相五限制,"1600A/5 IP65(L1,L2,L3,N,PE)",,,IP65,,高标,,米,90.38,2224.778761061947,0.13,2514,227215.31999999998,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
3,密集型母线槽,三相五限制,1250A/5 IP54(L1.L2.L3.PE.PEN),,,IP54,,高标,,米,107,1290.2654867256638,0.13,1458,156006,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
4,密集型母线槽,三相五限制,2000A/5 IP54(L1.L2.L3.PE.PEN),,,IP54,,高标,,米,29.25,2256.637168141593,0.13,2550,74587.5,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
5,密集型母线槽,三相五限制,3200A/5 IP54(L1.L2.L3.PE.PEN),,,IP54,,高标,,米,14.53,3592.035398230089,0.13,4059,58977.27,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
6,密集型母线槽,三相四限制,2000A/4 IP54(L1.L2.L3.PEN),,,IP54,,高标,,米,51.5,2084.070796460177,0.13,2355,121282.5,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
了,密集型母线槽,三相四限制,3200A/4 IP54(L1.L2.L3.PEN),,,IP54,,高标,,米,24.86,3322.12389380531,0.13,3754,93324.44,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
8,母线支、吊架,,/,,,,,高标,,Kg,878.65,22.123893805309738,0.13,25,21966.25,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
9,始端箱,,配套,,,,,高标,,台,14,3712.389380530974,0.13,4195,58730,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
10,终端箱,,配套,,,,,高标,,台,14,3712.389380530974,0.13,4195,58730,2025.6.13；电解铜参考价格：67000元/吨，连接器、插口装置、终端封头、搭接铜排等辅材由中标单位与母线槽配套供应， 上 述 辅 材 不 另 作 报 价 (投标单位在密集型母线槽报价中须包含连接器、插口装置、终端封头 等 价 格 )；（1）、预付当批送货金额 20%；（供方提供等额预付款保函）（2）、货到现场30天付至该批次送货金额85%；（先行抵扣预付款后再支付货款）（3）、最后一批次发货前甲方付至结算金额100% ；（3）、最后一批次货款付款前乙方提供结算金额3%的两年期银行质量保函。
