序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,密集型母线,三相五限制,320A/5P,,,IP54,,驰能,,米,39.55,440.5132743362832,0.13,497.78,19687.198999999997,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
2,连接器,三相五限制,320A/5P,,,IP54,,驰能,,套,14,117.23893805309734,0.13,132.48,1854.7199999999998,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
3,密集型母线,三相五限制,400A/5P,,,IP54,,驰能,,米,24.84,486.20353982300884,0.13,549.41,13647.3444,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
4,连接器,三相五限制,400A/5P,,,IP54,,驰能,,套,11,119.83185840707965,0.13,135.41,1489.51,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
5,密集型母线,三相五限制,630A/5P,,,IP54,,驰能,,米,71.91,613.7964601769912,0.13,693.59,49876.0569,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
6,连接器,三相五限制,630A/5P,,,IP54,,驰能,,套,29,131.89380530973452,0.13,149.04,4322.16,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
7,密集型母线,三相五限制,800A/5P,,,IP54,,驰能,,米,16.64,744.8318584070797,0.13,841.66,14005.2224,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
8,连接器,三相五限制,800A/5P,,,IP54,,驰能,,套,6,163.79646017699116,0.13,185.09,1110.54,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
9,密集型母线,三相五限制,1000A/5P,,,IP54,,驰能,,米,87.31,917.2389380530974,0.13,1036.48,90495.06880000001,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
10,连接器,三相五限制,1000A/5P,,,IP54,,驰能,,套,25,198.27433628318587,0.13,224.05,5601.25,2025.1.15；无预付款，货到现场验收合格2月付至送货金额70%，竣工验收合格后付至85%，结算完成付至95%，5%质保2年
